               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.035023,            0.020241,            0.002496,             0.75097,             0.69077,             0.75199,             0.42832,            0.034955,           0.0091179,           0.0020527,            0.006997,            0.006997,            0.006997
                  93,            0.035211,            0.020518,           0.0026851,             0.74619,              0.6972,             0.75304,             0.43147,            0.034816,           0.0090691,           0.0020076,            0.006964,            0.006964,            0.006964
                  94,            0.035057,            0.020548,           0.0026647,               0.743,             0.71013,             0.75395,             0.43378,            0.034768,           0.0090577,           0.0020023,            0.006931,            0.006931,            0.006931
                  95,            0.035077,            0.020715,           0.0027487,             0.74247,             0.70425,             0.75523,             0.43307,            0.034762,           0.0090597,           0.0020042,            0.006898,            0.006898,            0.006898
                  96,            0.034938,            0.020384,           0.0027077,             0.72848,             0.72016,              0.7554,             0.43532,             0.03459,           0.0090351,           0.0019257,            0.006865,            0.006865,            0.006865
                  97,            0.034564,            0.020344,           0.0026257,             0.72878,             0.71583,             0.75406,             0.43321,            0.034732,           0.0090277,           0.0019312,            0.006832,            0.006832,            0.006832
                  98,               0.035,            0.020418,           0.0029446,             0.73471,             0.70848,             0.75188,             0.43328,            0.034891,           0.0090751,           0.0019661,            0.006799,            0.006799,            0.006799
                  99,            0.034761,            0.020259,            0.002738,             0.73648,             0.70956,             0.75332,             0.43291,            0.034849,           0.0090505,           0.0019759,            0.006766,            0.006766,            0.006766
                 100,            0.034951,             0.02003,           0.0027525,             0.73458,             0.71397,             0.75557,              0.4377,            0.034707,           0.0090534,           0.0019664,            0.006733,            0.006733,            0.006733
                 101,            0.034471,            0.019981,           0.0026405,              0.7385,              0.7084,             0.75578,             0.43761,            0.034467,           0.0090391,           0.0020458,              0.0067,              0.0067,              0.0067
                 102,            0.034645,            0.020098,           0.0026204,             0.74315,             0.70508,             0.75593,             0.43734,            0.034371,           0.0090291,           0.0020354,            0.006667,            0.006667,            0.006667
                 103,            0.034117,             0.02003,           0.0024921,             0.74796,             0.70917,             0.75978,             0.44125,            0.034351,           0.0089891,           0.0020185,            0.006634,            0.006634,            0.006634
                 104,            0.034365,            0.020265,            0.002696,             0.75326,             0.70968,             0.75795,             0.44068,            0.034331,           0.0089901,           0.0020353,            0.006601,            0.006601,            0.006601
                 105,            0.034191,             0.02017,           0.0027288,             0.75319,               0.713,             0.75717,             0.44124,            0.034355,           0.0089916,           0.0019919,            0.006568,            0.006568,            0.006568
                 106,            0.034471,            0.020178,           0.0025006,             0.75808,             0.71037,             0.75837,              0.4415,            0.034262,           0.0089953,           0.0020054,            0.006535,            0.006535,            0.006535
                 107,            0.034441,             0.01994,           0.0027659,               0.743,             0.71963,             0.75603,             0.44049,            0.034199,            0.009007,           0.0020121,            0.006502,            0.006502,            0.006502
                 108,            0.033924,            0.020138,           0.0025938,             0.73585,             0.72859,              0.7564,             0.44042,            0.034142,           0.0090045,           0.0019665,            0.006469,            0.006469,            0.006469
                 109,            0.033825,            0.019939,           0.0025432,             0.74247,             0.71754,             0.75626,             0.44023,            0.034095,           0.0090074,            0.001948,            0.006436,            0.006436,            0.006436
                 110,            0.033916,            0.019821,           0.0025147,             0.74589,             0.71639,             0.75681,              0.4429,            0.034036,           0.0089987,           0.0019822,            0.006403,            0.006403,            0.006403
                 111,            0.034058,            0.020014,           0.0024166,             0.75493,             0.71777,             0.76047,             0.44351,            0.034031,           0.0089626,           0.0019905,             0.00637,             0.00637,             0.00637
                 112,            0.033584,            0.019778,           0.0024931,             0.75331,             0.71225,              0.7612,              0.4447,            0.033992,           0.0089737,           0.0019981,            0.006337,            0.006337,            0.006337
                 113,            0.034014,            0.020047,           0.0025895,             0.75481,             0.72088,             0.76452,             0.44625,            0.033939,           0.0089566,            0.001983,            0.006304,            0.006304,            0.006304
                 114,            0.033743,            0.019676,           0.0025514,             0.74852,             0.72584,             0.76369,             0.44654,              0.0339,           0.0089574,           0.0019533,            0.006271,            0.006271,            0.006271
                 115,            0.033679,            0.019672,           0.0022832,             0.75191,             0.72389,             0.76474,             0.44805,            0.033908,           0.0089305,           0.0019179,            0.006238,            0.006238,            0.006238
                 116,            0.033685,            0.019789,           0.0023679,             0.75338,             0.72397,             0.76589,             0.44785,            0.033891,           0.0089314,           0.0018886,            0.006205,            0.006205,            0.006205
                 117,            0.033657,            0.019594,           0.0024074,             0.75953,             0.71921,             0.76616,             0.44821,            0.033867,           0.0089184,           0.0018827,            0.006172,            0.006172,            0.006172
                 118,            0.033736,            0.019763,           0.0024641,             0.76406,             0.71746,             0.76736,             0.44839,            0.033834,           0.0089067,           0.0018769,            0.006139,            0.006139,            0.006139
                 119,             0.03337,            0.019821,            0.002388,             0.75885,             0.72178,             0.76814,             0.44828,            0.033804,           0.0089077,           0.0018654,            0.006106,            0.006106,            0.006106
                 120,            0.032993,            0.019812,           0.0024538,             0.75919,             0.72189,             0.76841,             0.44995,             0.03375,           0.0088861,           0.0018684,            0.006073,            0.006073,            0.006073
                 121,            0.033256,            0.019664,           0.0023378,             0.75894,             0.72343,             0.76831,             0.45115,            0.033704,           0.0088683,           0.0018664,             0.00604,             0.00604,             0.00604
                 122,            0.033166,            0.019618,           0.0022963,             0.75905,             0.72515,              0.7689,             0.45183,            0.033663,           0.0088598,           0.0018511,            0.006007,            0.006007,            0.006007
                 123,             0.03293,            0.019406,           0.0023068,             0.76085,             0.72371,             0.76927,              0.4532,            0.033654,           0.0088457,           0.0018503,            0.005974,            0.005974,            0.005974
                 124,            0.032889,            0.019491,           0.0023959,             0.76319,             0.72239,             0.77036,              0.4531,            0.033636,           0.0088439,           0.0018482,            0.005941,            0.005941,            0.005941
                 125,            0.032898,            0.019495,            0.002301,             0.75796,              0.7251,             0.77069,             0.45468,             0.03365,           0.0088296,           0.0018432,            0.005908,            0.005908,            0.005908
                 126,             0.03329,            0.019563,           0.0025033,             0.76333,             0.72492,             0.77149,              0.4561,            0.033601,           0.0088237,           0.0018296,            0.005875,            0.005875,            0.005875
                 127,            0.033153,            0.019534,           0.0023497,             0.76089,             0.72931,             0.77193,             0.45694,             0.03355,           0.0088213,           0.0018074,            0.005842,            0.005842,            0.005842
                 128,            0.032646,            0.019496,            0.002253,             0.75693,             0.73379,             0.77287,             0.45751,            0.033529,           0.0088178,           0.0017949,            0.005809,            0.005809,            0.005809
                 129,            0.032935,            0.019518,           0.0023126,             0.76348,             0.73452,               0.774,             0.45793,            0.033513,           0.0087982,           0.0018044,            0.005776,            0.005776,            0.005776
                 130,            0.032324,            0.019101,           0.0022407,              0.7649,             0.73431,             0.77577,             0.45895,            0.033481,           0.0087799,            0.001809,            0.005743,            0.005743,            0.005743
                 131,            0.032861,            0.019416,            0.002149,             0.76378,             0.73759,             0.77566,             0.45874,            0.033475,           0.0087812,            0.001816,             0.00571,             0.00571,             0.00571
                 132,            0.032466,            0.019105,            0.002177,             0.75927,              0.7414,             0.77569,             0.45981,            0.033485,           0.0087758,            0.001823,            0.005677,            0.005677,            0.005677
                 133,            0.032322,            0.019388,            0.002214,             0.76346,             0.74107,             0.77728,             0.46043,            0.033472,           0.0087597,           0.0018118,            0.005644,            0.005644,            0.005644
                 134,            0.032554,            0.019113,           0.0021594,             0.76311,             0.74557,             0.77745,             0.46149,             0.03343,           0.0087552,           0.0018116,            0.005611,            0.005611,            0.005611
                 135,            0.032624,            0.019539,           0.0023685,             0.76109,             0.74595,             0.77859,             0.46185,            0.033432,           0.0087473,           0.0018153,            0.005578,            0.005578,            0.005578
                 136,            0.032373,            0.019158,           0.0021067,             0.76596,             0.74559,             0.77901,             0.46256,            0.033429,           0.0087454,            0.001813,            0.005545,            0.005545,            0.005545
                 137,            0.032251,            0.019337,           0.0020695,             0.76489,             0.74698,              0.7794,             0.46368,             0.03341,           0.0087404,           0.0018243,            0.005512,            0.005512,            0.005512
                 138,            0.032341,            0.018753,           0.0017864,             0.76426,             0.74482,             0.77861,             0.46489,            0.033377,            0.008733,           0.0018238,            0.005479,            0.005479,            0.005479
                 139,            0.032108,            0.019131,           0.0021973,             0.76914,             0.73884,             0.77877,              0.4653,             0.03335,           0.0087284,           0.0018171,            0.005446,            0.005446,            0.005446
                 140,             0.03194,            0.019059,           0.0020351,             0.77306,             0.73539,             0.77797,             0.46648,            0.033341,           0.0087204,             0.00182,            0.005413,            0.005413,            0.005413
                 141,            0.031793,            0.019104,           0.0021128,             0.77483,             0.73576,             0.77869,             0.46669,            0.033332,           0.0087182,           0.0018221,             0.00538,             0.00538,             0.00538
                 142,             0.03229,             0.01912,           0.0022698,             0.77659,             0.73653,             0.77892,              0.4674,             0.03332,           0.0087095,           0.0018268,            0.005347,            0.005347,            0.005347
                 143,            0.031457,            0.018975,           0.0022051,             0.77718,             0.73544,             0.77977,              0.4681,             0.03329,           0.0087014,           0.0018209,            0.005314,            0.005314,            0.005314
                 144,            0.031633,            0.018873,             0.00201,             0.77745,             0.73468,             0.77963,             0.46875,            0.033268,           0.0086921,           0.0018183,            0.005281,            0.005281,            0.005281
                 145,            0.031858,            0.019108,           0.0021137,              0.7764,             0.73431,             0.78034,             0.46955,            0.033246,            0.008685,           0.0018187,            0.005248,            0.005248,            0.005248
                 146,            0.031796,            0.018907,           0.0021215,             0.77533,             0.73986,               0.782,             0.47003,            0.033235,           0.0086788,           0.0018129,            0.005215,            0.005215,            0.005215
                 147,            0.031374,            0.018834,           0.0019519,             0.77701,              0.7403,             0.78315,             0.47115,            0.033216,           0.0086741,           0.0018116,            0.005182,            0.005182,            0.005182
                 148,            0.031934,              0.0189,           0.0019562,             0.77419,             0.74247,             0.78424,             0.47169,            0.033187,           0.0086669,           0.0018096,            0.005149,            0.005149,            0.005149
                 149,            0.031585,            0.018906,           0.0018196,             0.77671,             0.74073,             0.78454,             0.47237,            0.033152,            0.008659,            0.001814,            0.005116,            0.005116,            0.005116
                 150,            0.031402,            0.018942,           0.0022704,             0.77557,             0.74458,             0.78514,              0.4729,            0.033121,            0.008656,           0.0018145,            0.005083,            0.005083,            0.005083
                 151,            0.031481,            0.018923,           0.0021438,             0.77771,             0.74293,             0.78598,             0.47322,            0.033091,           0.0086524,           0.0018197,             0.00505,             0.00505,             0.00505
                 152,            0.031425,            0.018781,           0.0021717,             0.77708,             0.73951,             0.78639,             0.47451,            0.033062,           0.0086461,           0.0018165,            0.005017,            0.005017,            0.005017
                 153,            0.031332,            0.018776,           0.0021731,             0.77745,                0.74,             0.78645,             0.47558,            0.033039,           0.0086401,            0.001816,            0.004984,            0.004984,            0.004984
                 154,            0.031429,            0.018272,           0.0019023,             0.77776,             0.73821,              0.7867,             0.47546,            0.033018,           0.0086337,           0.0018125,            0.004951,            0.004951,            0.004951
                 155,            0.031013,            0.018566,           0.0021023,             0.77291,             0.74645,             0.78703,             0.47601,            0.032989,           0.0086268,           0.0018077,            0.004918,            0.004918,            0.004918
                 156,            0.031026,            0.018319,             0.00193,             0.77696,              0.7414,             0.78749,             0.47696,            0.032975,           0.0086197,           0.0018042,            0.004885,            0.004885,            0.004885
                 157,            0.031033,            0.018533,           0.0018752,             0.77718,             0.74489,             0.78824,             0.47717,            0.032966,           0.0086132,           0.0018049,            0.004852,            0.004852,            0.004852
                 158,            0.031323,              0.0186,           0.0021843,             0.77542,             0.74556,             0.78837,             0.47718,            0.032957,           0.0086092,            0.001807,            0.004819,            0.004819,            0.004819
                 159,            0.031371,            0.018691,           0.0019567,             0.77422,             0.74579,             0.78845,             0.47736,             0.03294,           0.0086043,           0.0018023,            0.004786,            0.004786,            0.004786
